record_id,cns_panel_code,mouse_number,strain,sex,dob,cns_model_id,passage,cell_number,volume,site_of_injection,date_of_injection,cns_group,treatment_drug,treatment_scheme,date_treatment_started,date_treatment_ended,route_of_administration,date_ended,outcome,visible_tumor,unexpected_event,survival_time_days,survival_counted,user,cns_data_complete,record_complete,redcap_event_name
1817-IC-3752GBM-1-3036,1817-IC-3752GBM-1,3036,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,male,1/20/2021,IC-3752GBM-rVIII,8,1000,2,R. Cerebrum,3/16/2021,A,Control (vehicle),5ul/g ,3/30/2021,4/13/2021,i.v.,5/1/2021,sick_euthanized,Yes,,46,yes,YD2,2,2,cns_arm_8
1817-IC-3752GBM-1-3048,1817-IC-3752GBM-1,3048,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,male,1/20/2021,IC-3752GBM-rVIII,8,1000,2,R. Cerebrum,3/16/2021,A,Control (vehicle),5ul/g ,3/30/2021,4/13/2021,i.v.,5/7/2021,sick_euthanized,Yes,,52,yes,YD2,2,2,cns_arm_8
1817-IC-3752GBM-1-3049,1817-IC-3752GBM-1,3049,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,male,1/20/2021,IC-3752GBM-rVIII,8,1000,2,R. Cerebrum,3/16/2021,A,Control (vehicle),5ul/g ,3/30/2021,4/13/2021,i.v.,4/23/2021,sick_euthanized,No,,38,yes,YD2,2,2,cns_arm_8
1817-IC-3752GBM-1-3039,1817-IC-3752GBM-1,3039,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,male,1/20/2021,IC-3752GBM-rVIII,8,1000,2,R. Cerebrum,3/16/2021,A,Control (vehicle),5ul/g ,3/30/2021,4/13/2021,i.v.,4/27/2021,sick_euthanized,No,,42,yes,YD2,2,2,cns_arm_8
1817-IC-3752GBM-1-3046,1817-IC-3752GBM-1,3046,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,male,1/20/2021,IC-3752GBM-rVIII,8,1000,2,R. Cerebrum,3/16/2021,A,Control (vehicle),5ul/g ,3/30/2021,4/13/2021,i.v.,4/28/2021,sick_euthanized,Yes,,43,yes,YD2,2,2,cns_arm_8
1817-IC-3752GBM-1-3047,1817-IC-3752GBM-1,3047,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,male,1/20/2021,IC-3752GBM-rVIII,8,1000,2,R. Cerebrum,3/16/2021,A,Control (vehicle),5ul/g ,3/30/2021,4/13/2021,i.v.,4/26/2021,sick_euthanized,Yes,,41,yes,YD2,2,2,cns_arm_8
1817-IC-3752GBM-1-3050,1817-IC-3752GBM-1,3050,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,male,1/20/2021,IC-3752GBM-rVIII,8,1000,2,R. Cerebrum,3/16/2021,A,Control (vehicle),5ul/g ,3/30/2021,4/13/2021,i.v.,4/26/2021,sick_euthanized,Yes,,41,yes,YD2,2,2,cns_arm_8
1817-IC-3752GBM-1-3037,1817-IC-3752GBM-1,3037,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,male,1/20/2021,IC-3752GBM-rVIII,8,1000,2,R. Cerebrum,3/16/2021,A,Control (vehicle),5ul/g ,3/30/2021,4/13/2021,i.v.,4/30/2021,sick_euthanized,Yes,,45,yes,YD2,2,2,cns_arm_8
1817-IC-3752GBM-1-3038,1817-IC-3752GBM-1,3038,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,male,1/20/2021,IC-3752GBM-rVIII,8,1000,2,R. Cerebrum,3/16/2021,A,Control (vehicle),5ul/g ,3/30/2021,4/13/2021,i.v.,4/30/2021,sick_euthanized,Yes,,45,yes,YD2,2,2,cns_arm_8
1817-IC-3752GBM-1-3040,1817-IC-3752GBM-1,3040,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,male,1/20/2021,IC-3752GBM-rVIII,8,1000,2,R. Cerebrum,3/16/2021,A,Control (vehicle),5ul/g ,3/30/2021,4/13/2021,i.v.,4/28/2021,sick_euthanized,Yes,,43,yes,YD2,2,2,cns_arm_8
1817-IC-3752GBM-1-3041,1817-IC-3752GBM-1,3041,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,male,1/20/2021,IC-3752GBM-rVIII,8,1000,2,R. Cerebrum,3/16/2021,B,DS-7300a (PPTC 1817),"10mg/kg, every other week, 2 doses",3/30/2021,4/13/2021,i.v.,5/9/2021,found dead,Yes,,54,yes,YD/CM2,2,2,cns_arm_8
1817-IC-3752GBM-1-3042,1817-IC-3752GBM-1,3042,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,male,1/20/2021,IC-3752GBM-rVIII,8,1000,2,R. Cerebrum,3/16/2021,B,DS-7300a (PPTC 1817),"10mg/kg, every other week, 2 doses",3/30/2021,4/13/2021,i.v.,5/6/2021,sick_euthanized,Yes,,51,yes,YD2,2,2,cns_arm_8
1817-IC-3752GBM-1-3043,1817-IC-3752GBM-1,3043,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,male,1/20/2021,IC-3752GBM-rVIII,8,1000,2,R. Cerebrum,3/16/2021,B,DS-7300a (PPTC 1817),"10mg/kg, every other week, 2 doses",3/30/2021,4/13/2021,i.v.,5/6/2021,sick_euthanized,Yes,,51,yes,YD2,2,2,cns_arm_8
1817-IC-3752GBM-1-3044,1817-IC-3752GBM-1,3044,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,male,1/20/2021,IC-3752GBM-rVIII,8,1000,2,R. Cerebrum,3/16/2021,B,DS-7300a (PPTC 1817),"10mg/kg, every other week, 2 doses",3/30/2021,4/13/2021,i.v.,5/10/2021,sick_euthanized,Yes,,55,yes,YD2,2,2,cns_arm_8
1817-IC-3752GBM-1-3045,1817-IC-3752GBM-1,3045,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,male,1/20/2021,IC-3752GBM-rVIII,8,1000,2,R. Cerebrum,3/16/2021,B,DS-7300a (PPTC 1817),"10mg/kg, every other week, 2 doses",3/30/2021,4/13/2021,i.v.,5/7/2021,sick_euthanized,Yes,,52,yes,YD2,2,2,cns_arm_8
1817-IC-3752GBM-1-3051,1817-IC-3752GBM-1,3051,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,female,1/21/2021,IC-3752GBM-rVIII,8,1000,2,R. Cerebrum,3/16/2021,B,DS-7300a (PPTC 1817),"10mg/kg, every other week, 2 doses",3/30/2021,4/13/2021,i.v.,5/11/2021,sick_euthanized,Yes,,56,yes,YD2,2,2,cns_arm_8
1817-IC-3752GBM-1-3052,1817-IC-3752GBM-1,3052,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,female,1/21/2021,IC-3752GBM-rVIII,8,1000,2,R. Cerebrum,3/16/2021,B,DS-7300a (PPTC 1817),"10mg/kg, every other week, 2 doses",3/30/2021,4/13/2021,i.v.,5/7/2021,sick_euthanized,Yes,,52,yes,YD2,2,2,cns_arm_8
1817-IC-3752GBM-1-3053,1817-IC-3752GBM-1,3053,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,female,1/21/2021,IC-3752GBM-rVIII,8,1000,2,R. Cerebrum,3/16/2021,B,DS-7300a (PPTC 1817),"10mg/kg, every other week, 2 doses",3/30/2021,4/13/2021,i.v.,5/11/2021,sick_euthanized,Yes,,56,yes,YD2,2,2,cns_arm_8
1817-IC-3752GBM-1-3054,1817-IC-3752GBM-1,3054,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,female,1/21/2021,IC-3752GBM-rVIII,8,1000,2,R. Cerebrum,3/16/2021,B,DS-7300a (PPTC 1817),"10mg/kg, every other week, 2 doses",3/30/2021,4/13/2021,i.v.,5/11/2021,sick_euthanized,Yes,,56,yes,YD2,2,2,cns_arm_8
1817-IC-3752GBM-1-3055,1817-IC-3752GBM-1,3055,NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ,female,1/21/2021,IC-3752GBM-rVIII,8,1000,2,R. Cerebrum,3/16/2021,B,DS-7300a (PPTC 1817),"10mg/kg, every other week, 2 doses",3/30/2021,4/13/2021,i.v.,5/8/2021,found dead,Yes,,53,yes,YD2,2,2,cns_arm_8
